2024-06-22 02:36:14.905,9.625,,1.535180,14.994187,0.000000,-0.000037,8882.812500,0.000000,0.002181,1.000000,-0.981555,3.000000,109.041040,1.868205,1.000000
2024-06-22 02:36:15.005,9.725,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:15.105,9.825,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:15.205,9.925,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:15.305,10.025,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:15.405,10.125,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:15.505,10.225,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:15.605,10.325,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:15.705,10.425,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:15.805,10.525,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:15.905,10.625,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:16.005,10.725,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
2024-06-22 02:36:16.105,10.825,,1.535232,14.994112,0.000000,-0.000040,7851.562500,0.000000,0.002182,1.000000,-1.043588,3.000000,109.102670,1.987421,1.000000
