Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 2 ~ AN 4BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-22 02:52:29,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-22 02:52:39.405,9.606,,0.863960,-0.000763,-0.000190,0.253189,0.874903,0.005153
2024-06-22 02:52:39.505,9.706,,0.858270,-0.000572,0.000190,0.249543,0.869866,0.005064
2024-06-22 02:52:39.605,9.806,,0.853530,-0.000763,0.000381,0.245997,0.864861,0.004991
2024-06-22 02:52:39.705,9.906,,0.848790,-0.000763,0.000000,0.241520,0.859889,0.004920
2024-06-22 02:52:39.805,10.006,,0.843100,-0.000572,0.000000,0.237764,0.854873,0.004830
2024-06-22 02:52:39.905,10.106,,0.838360,-0.000572,0.000190,0.234694,0.849855,0.004755
2024-06-22 02:52:40.005,10.206,,0.833620,-0.000572,0.000381,0.230298,0.844879,0.004694
2024-06-22 02:52:40.105,10.306,,0.828870,-0.000572,0.000000,0.227732,0.839910,0.004606
2024-06-22 02:52:40.205,10.406,,0.824130,-0.000763,0.000190,0.223516,0.834872,0.004555
2024-06-22 02:52:40.305,10.506,,0.818440,-0.000763,0.000190,0.219787,0.829892,0.004470
2024-06-22 02:52:40.405,10.606,,0.813700,-0.000572,0.000190,0.216454,0.824881,0.004396
2024-06-22 02:52:40.505,10.706,,0.808960,-0.000572,0.000381,0.213112,0.819881,0.004329
2024-06-22 02:52:40.605,10.806,,0.804220,-0.000572,0.000190,0.210046,0.814870,0.004262
2024-06-22 02:52:40.705,10.906,,0.798530,-0.000572,0.000381,0.206051,0.809807,0.004201
2024-06-22 02:52:40.805,11.006,,0.789040,-0.000381,0.000190,0.203325,0.804864,0.004121
2024-06-22 02:52:40.905,11.106,,0.783350,-0.000572,0.000190,0.199968,0.799877,0.004067
2024-06-22 02:52:41.005,11.206,,0.778610,-0.000381,0.000381,0.196372,0.794813,0.003999
2024-06-22 02:52:41.105,11.306,,0.773870,-0.000381,0.000381,0.194252,0.789878,0.003927
2024-06-22 02:52:41.205,11.406,,0.769130,-0.000763,0.000190,0.191397,0.784882,0.003885
2024-06-22 02:52:41.305,11.506,,0.763440,-0.000381,0.000000,0.188384,0.779896,0.003828
2024-06-22 02:52:41.405,11.606,,0.758700,-0.000381,0.000381,0.186120,0.774890,0.003768
2024-06-22 02:52:41.505,11.706,,0.753950,-0.000381,0.000381,0.183798,0.769851,0.003722
2024-06-22 02:52:41.605,11.806,,0.748260,-0.000381,0.000381,0.181174,0.764814,0.003676
2024-06-22 02:52:41.705,11.906,,0.743520,-0.000381,0.000381,0.181174,0.764814,0.003623
2024-06-22 02:52:41.805,12.006,,0.738780,-0.000381,0.000190,0.177943,0.754845,0.003603
2024-06-22 02:52:41.905,12.106,,0.734040,-0.000381,0.000000,0.177062,0.749864,0.003559
2024-06-22 02:52:42.005,12.206,,0.728350,-0.000572,0.000190,0.176020,0.744829,0.003541
2024-06-22 02:52:42.105,12.306,,0.723610,-0.000572,0.000190,0.175216,0.739891,0.003520
2024-06-22 02:52:42.205,12.406,,0.718860,-0.000381,0.000190,0.175538,0.734854,0.003504
2024-06-22 02:52:42.306,12.507,,0.718860,-0.000191,0.000381,0.175505,0.729850,0.003511
