Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,AN 0BAR, CA 0BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-20 08:19:20,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-20 08:19:25.805,5.700,,1.079240,-0.000191,0.000381,-3.361998,1.095056,-0.065788
2024-06-20 08:19:25.905,5.800,,1.073550,0.000381,0.000381,-3.454372,1.089972,-0.067240
2024-06-20 08:19:26.005,5.900,,1.068810,0.000191,0.000190,-3.512057,1.085013,-0.070241
2024-06-20 08:19:26.105,6.000,,1.064070,0.000191,0.000190,-3.525219,1.080008,-0.070241
2024-06-20 08:19:26.205,6.100,,1.058380,0.000000,0.000190,-3.592065,1.075015,-0.070504
2024-06-20 08:19:26.305,6.200,,1.053640,0.000191,0.000381,-3.624126,1.069951,-0.072483
2024-06-20 08:19:26.405,6.300,,1.048900,0.000191,0.000381,-3.772038,1.059992,-0.072483
2024-06-20 08:19:26.505,6.400,,1.044150,0.000191,0.000000,-3.772038,1.059992,-0.075441
2024-06-20 08:19:26.605,6.500,,1.039410,0.000191,0.000381,-3.832960,1.055031,-0.076659
2024-06-20 08:19:26.705,6.600,,1.033720,0.000000,0.000381,-3.909059,1.044994,-0.076659
2024-06-20 08:19:26.805,6.700,,1.028980,0.000000,0.000000,-3.909059,1.044994,-0.078181
2024-06-20 08:19:26.905,6.800,,1.024240,0.000000,0.000381,-4.005376,1.040001,-0.080108
2024-06-20 08:19:27.005,6.900,,1.018550,0.000381,0.000571,-4.054407,1.035044,-0.080108
2024-06-20 08:19:27.105,7.000,,1.013810,0.000000,0.000190,-4.081397,1.030002,-0.081628
2024-06-20 08:19:27.205,7.100,,1.009060,0.000191,0.000381,-4.114471,1.025034,-0.082289
2024-06-20 08:19:27.306,7.201,,1.003370,0.000000,0.000190,-4.174217,1.020036,-0.082289
