Format,1,,,,,,,
Emerald Version,3.5.5.0,,,,,,,
Station ID,G21-9800,,,,,,,
Environment,Emerald,,,,,,,
Test Name,CYCLE 3 ~ AN 6BAR 80C, CA 28.5BAR CV,,,,,,,
User Name,OB,,,,,,,
Comment,CV Logger,,,,,,,
Test Channel,System,,,,,,,
Logger Name,Process_Data,,,,,,,
Profile Name,CV.ini,,,,,,,
Number Of Tags,6,,,,,,,
Initial Log Rate,100 ms,,,,,,,
Start Time,2024-06-24 19:20:34,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Cell Voltage 001,Cell Voltage 002,Gamry-01.Current,Gamry-01.Voltage,Gamry-01.current_density
,s,,V,V,V,A,V,A/cm?
Time Stamp,Elapsed Time,File Mark,voltage,cell_voltage_001,cell_voltage_002,Gamry-01.current,Gamry-01.voltage,Gamry-01.current_density
2024-06-24 19:20:47.605,12.809,,0.718860,-0.000572,0.000000,-0.999311,0.734957,-0.019986
2024-06-24 19:20:47.705,12.909,,0.714120,-0.000763,0.000190,-0.991377,0.724907,-0.019275
2024-06-24 19:20:47.805,13.009,,0.708430,-0.000763,0.000381,-0.991377,0.724907,-0.019828
2024-06-24 19:20:47.905,13.109,,0.703690,-0.000763,0.000381,-0.970638,0.719908,-0.019413
2024-06-24 19:20:48.005,13.209,,0.698950,-0.000763,0.000000,-0.961026,0.709913,-0.020085
2024-06-24 19:20:48.105,13.309,,0.694210,-0.000572,0.000190,-0.961026,0.709913,-0.019221
2024-06-24 19:20:48.205,13.409,,0.688520,-0.000763,0.000190,-0.983584,0.704960,-0.019672
2024-06-24 19:20:48.305,13.509,,0.683770,-0.000763,0.000190,-0.992534,0.694960,-0.019430
2024-06-24 19:20:48.405,13.609,,0.679030,-0.000763,0.000381,-0.992534,0.694960,-0.019851
2024-06-24 19:20:48.505,13.709,,0.673340,-0.000763,0.000190,-0.971140,0.684920,-0.019243
